id	headword	subject_type	vol	fascicle	date	col1	col2	colspan	author1	author2	author3	author4	entry_type	scan	Wikidata	FactGrid	Mythogram	redirect_target	remarks	referring_to_entry	excerpt
RLMcs014	Seite 367 Zeile 7 lies: Er vertrieb den Aineias.		1.1	4	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1							Seite 367 Zeile 7 lies: Er vertrieb den Aineias.
RLMcs015	Seite 397 Zeile 7 lies: Caelus und Dies.		1.1	4	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1							Seite 397 Zeile 7 lies: Caelus und Dies.
RLMcs016	Aphroditos	deity	1.1	4	1884	3		3					cross-reference	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1				Hermaphroditos			Seite 419 Zeile 47 füge vor Apis ein: Aphroditos = Hermaphroditos (s. d.). Vgl. Robert im Hermes 19,308ff. und den Artikel Astarte S. 654 Z. 55.
RLMcs017	Areia 3	character	1.1	4	1884	3		3	Hoefer				article	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1					see below		Seite 475 Zeile 79 füge hinzu: – 3) Areia, Gattin des Miletos (schol. Theocr. 7,115).
RLMcs018			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs019			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs020			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs021			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs022			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs023			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs024			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs025			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs026	Aietos	satyr	1.1	5	1885	3		3					article	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							Aietos, Satyr, Heydemann, Sat. u. Bakchennamen S. 32 u. 35.
RLMcs027			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs028	Anthe 2	character	1.1	5	1885	3		3					article	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							Seite 367 Zeile 61 (Anthe) schiebe ein: – 2) Bakchantin, Heydemann, Sat. u. Bakchennamen S. 39.
RLMcs029			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs030			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs031	Asbestos	deity	1.1	5	1885	3		3					article	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							Seite 609 Zeile 4 schiebe ein Asbestos, Name eines Dämons Hom. ep. 14,9.
RLMcs032			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs033			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs034			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs035			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs036			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs037			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs038			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs039			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs040			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs041			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs042			1.1	5	1885	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA895-IA1							
RLMcs043			1.1	8	1885	2		2	Weizsäcker				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1247-IA4							
RLMcs044			1.1	8	1885	2		2	Weizsäcker				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1247-IA4							
RLMcs045			1.1	8	1885	2		2	Weizsäcker				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1247-IA4							
RLMcs046			1.1	8	1885	2		2	Weizsäcker				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1247-IA4							
RLMcs047			1.1	8	1885	2		2	Weizsäcker				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1247-IA4							
RLMcs048	Anesidora	deity	1.1	8	1885	2		2	Weizsäcker				cross-reference	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1247-IA4				Pandora			S. 348 vor Anexibie füge ein: Anesidora s. Pandora
RLMcs049			1.1	8	1885	2		2	Weizsäcker				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1247-IA4							
RLMcs050			1.1	8	1885	2		2	Weizsäcker				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1247-IA4							
RLMcs051			1.1	8	1885	3		3	Weizsäcker				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs052			1.1	8	1885	3		3	Weizsäcker				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs053			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs054			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs055			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs056			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs057			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs058			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs059			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs060			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs061			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs062			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs063			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs064			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs065			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs066			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs067			1.1	8	1885	3		3	Hoffmann				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA1407-IA1							
RLMcs068			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs069	Aëtios	character	1.2	9	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							S. 89 Z. 8 einzufügen: Aëtios: Sohn des Anthias (s. d.): Paus. 2, 31, 10.
RLMcs070			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs071			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs072			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs073			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs074			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs075			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs076	Alkidai	collective_deity	1.2	9	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							S. 235 Z. 59 einzufügen: Alkidai (Ἀλκῖδαι)· θεοί τινες παρὰ Λακεδαιμονίοις Hesych. Vgl. Mitt. d. ath. Instituts 1885 p. 194.
RLMcs077			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs078			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs079			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs080	Aphetaios	character	1.2	9	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							Aphetaios (S. 390 Z. 5) einzuschieben: Heros in Sparta (oder Beiname des Apollon?) mit einem Standbild: Paus. 3, 13, 6.
RLMcs081	Argiope 4		1.2	9	1886	3		3					cross-reference	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater				Agriope			Argiope (S. 501 Z. 68) hinzuzufügen: 4) = Agriope (s. d.) Hermesianax fr. 2 v. 2 u. 14 bei Bergk, Anthol. Lyr. (1854).
RLMcs082	Ariagne	nymph	1.2	9	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							Ariagne (S. 546 Z. 19) hinzuzufügen: Nymphe von Nysa, welcher Hermes das Dionysoskind übergiebt: vgl. Heydemann, Satyr- u. Bakchennamen S. 14.
RLMcs083	Aristomachos 4	character	1.2	9	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							Aristomachos (S. 552 Z. 2) hinzuzufügen: 4) ἥρως ἰατρός Schol. Dem. 19, 249. Bekk. Anecd. 262. Vgl. v. Sybel im Hermes 1885 S. 43.
RLMcs084			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs085			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs086			1.2	9	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							
RLMcs087	Aumos	deity	1.2	9	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							S. 733 einzuschieben: Aumos = Helios, Lebas 3, 2097. 2392 f. 2395. 2441. 2455 f.
RLMcs088	Babakchos	satyr	1.2	9	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							S. 744 einzuschieben: Babakchos, Name eines Satyrs auf einer Trinkschale des Brygos im Brit. Museum, abgeb. Mon. d. Inst. 9, 46. Vgl. Heydemann, Sat.- u. Bakchennamen, S. 15 u. 35.
RLMcs089	Batyllos	satyr	1.2	9	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							S. 752 einzuschieben: Batyllos, Name eines Satyrs auf e. Vase abg. Jahn, Vasenb. 2, 2 etc. Vgl. Heydemann a. a. O. S. 19 Anm. 84 u. S. 35.
RLMcs090	Camloriga	deity	1.2	9	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n83/mode/2up?view=theater							S. 849 einzuschieben: Camloriga; vgl. darüber Philologus 22 S. 332.
RLMcs091			1.2	10	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs092			1.2	10	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs093			1.2	10	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs094			1.2	10	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs095			1.2	10	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs096			1.2	10	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs097			1.2	10	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs098	Δριωδόνες	collective_deity	1.2	10	1886	3		3	Schreiber				article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							S. 1202 einzuschieben: Δριωδόνες· θεοὶ παρὰ Λακεδαιμονίοις τιμώμενοι Hesych. Vgl. Mitt. d. ath. Inst. 1885 S. 194.
RLMcs099	Dromis	satyr	1.2	10	1886	3		3					article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							S. 1202 einzuschieben: Dromis, Name eines Satyrs auf einer Trinkschale des Brygos, abg. Mon. d. Inst. 9, 46. Heydemann, Satyr- u. Bakchennamen S. 15 u. 36.
RLMcs100			1.2	10	1886	3		3	Lehnerdt				correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs101			1.2	10	1886	3		3	Lehnerdt				correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs102	Eteoklos	character	1.2	10	1886	3		3	Lehnerdt				article	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							Eteoklos (S. 1389 Z. 33) hinzuzufügen: Eteoklos, Sohn des böot. Kephisos, opferte nach Hesiod (Argum. Pind. Ol. 14, 1. Kinkel, fr. ep. S. 110) zuerst den Chariten in Orchomenos.
RLMcs103			1.2	10	1886	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n167/mode/2up?view=theater							
RLMcs104			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs105			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs106			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs107			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs108			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs109			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs110			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs111			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs112			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs113			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs114			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs115			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs116			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs117			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs118			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs119			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs120			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs121			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs122			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs123			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs124			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs125			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs126			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs127			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs128			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs129			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs130			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs131			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs132			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs133			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs134			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs135			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs136			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs137			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs138			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs139			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs140			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs141			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs142			1.2	16/17	1889	3		3					correction	https://archive.org/details/bub_gb_0gUWAAAAYAAJ/page/n823/mode/2up?view=theater							
RLMcs143			2.1	18	1890	2		2	Crusius				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PR1#v=onepage&q&f=false							
RLMcs144			2.1	18	1890	2		2	Seeliger				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PR1#v=onepage&q&f=false							
RLMcs145			2.1	18	1890	2		2	Roscher				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PR1#v=onepage&q&f=false							
RLMcs146			2.1	18	1890	2		2	Roscher				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PR1#v=onepage&q&f=false							
RLMcs147			2.1	19	1891	2		2	Drexler				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA157							
RLMcs148			2.1	19	1891	2		2	Drexler				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA157							
RLMcs149			2.1	19	1891	2		2	Roscher	Imhoof-Blumer			correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA157							
RLMcs150			2.1	19	1891	2		2	Roscher	Imhoof-Blumer			correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA157							
RLMcs151			2.1	19	1891	2		2	Roscher				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA157							
RLMcs152			2.1	20	1891	3		3	Bethe				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs153			2.1	20	1891	3		3	Bethe				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs154			2.1	20	1891	3		3	Bethe				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs155			2.1	20	1891	3		3	Bethe				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs156	Areia 3	character	2.1	20	1891	3		3	Bethe				article	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511					duplicate		5) Areia ... hinzuzufügen: 3) Tochter des Athamas, Gründers von Teos: Pherecydes bei schol. Platon. Hipp. 229D = Steph. Byz. s. v. Τέως.
RLMcs157			2.1	20	1891	3		3	Bethe				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs158			2.1	20	1891	3		3	Bethe				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs159			2.1	20	1891	3		3	Bethe				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs160			2.1	20	1891	3		3	Franz				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs161			2.1	20	1891	3		3	Franz				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs162			2.1	20	1891	3		3	Franz				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs163			2.1	20	1891	3		3	Franz				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs164			2.1	20	1891	3		3	Franz				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs165			2.1	20	1891	3		3	Franz				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs166			2.1	20	1891	3		3	Franz				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs167			2.1	20	1891	3		3	Franz				correction	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							
RLMcs168	Aisaros	character	2.1	20	1891	3		3	Geffcken				article	https://books.google.de/books?id=1_UUAAAAQAAJ&pg=PA511							1) Aisaros. Eustath. ad Dion. v. 369 p. 283, 14 Muell. ...
