# name-stuff given names
# format: name|gender|frequency|tags
#
Bahareh|F|1|1
Baher|M|1|1
Bahi|M|1|1
Bahia|F|1|1
Bahij|M|2|2
Bahija|F|1|1
Bahir|M|1|1
Bahjat|F|4|4
Bahman|M|3|3
Bahram|M|4|4
Bajan|F|4|4
Bakir|M|1|1
Bakr|M|2|2
Ban|U|3|3
Bana|F|3|3
Banafsheh|F|1|1
Bano|F|2|2
Bariaa|F|2|2
Bariah|F|3|3
Basel|M|4|4
Basem|M|5|5
Bashar|M|4|4
Basharat|M|1|1
Basheer|M|3|3
Bashir|M|5|5
Basil|M|5|5
Basim|M|5|5
Basima|F|3|3
Basimah|F|3|3
Basit|M|2|2
Basma|F|3|3
Basmah|F|2|2
Bassam|M|7|7
Bassel|M|4|4
Bassem|M|5|5
Bassil|M|3|3
Bassim|M|5|5
Bassima|F|3|3
Batoul|F|2|2
Batul|F|2|2
Baya|F|1|1
Bayan|F|4|4
Bebe|F|1|1
Bechara|M|1|1
Bechir|M|2|2
Bedia|F|2|2
Begum|F|4|4
Behjat|F|2|2
Behnam|M|1|1
Behrad|M|1|1
Behrouz|M|4|4
Behruz|M|4|4
Behzad|M|3|3
Bekim|M|2|2
Belal|M|4|4
Besir|M|1|1
Bibi|F|5|5
Bijan|M?|2|2
Bilal|M|6|6
Bilel|M|1|1
Bisharah|M|1|1
Bishr|M|1|1
Bita|F|2|2
Bouchra|F|3|3
Boushra|F|4|4
Boutros|M|3|3
Brahim|M|3|3
Burhan|M|2|2
Bushra|F|6|6
Butros|M|2|2
Butrus|M|2|2
Celil|M|1|1
Chadi|M|3|3
Chadia|F|1|1
Chafic|M|1|1
Chaker|M|2|2
Chakib|M|1|1
Chakira|F|1|1
Charbel|M|3|3
Charif|M|1|1
Chawki|M|1|1
Cher|F|1|1
Cherif|M|1|1
Cherine|F|1|1
Chirine|F|3|3
Chokri|M|3|3
Choukri|M|2|2
Chousein|M|2|2
Chukri|M|2|2
Da'd|F|2|2
Dabir|M|1|1
Dalal|F?|4|4
Dalia|F|5|5
Daliah|F|4|4
Dana|F|5|5
Danah|F|1|1
Daoud|M|2|2
Daouda|M|2|2
Dara|F?|3|3
Darah|F|3|3
Dareen|F|3|3
Darin|F|3|3
Darine|F|2|2
Darioush|M|2|2
Dariush|M|1|1
Daryoosh|M|1|1
Daryosh|M|2|2
Daud|M|2|2
Deema|F|3|3
Dena|F|1|1
Diala|F|3|3
Dib|M|2|2
Diema|F|3|3
Dilan|F|2|2
Dilawar|M|1|1
Dilber|F|1|1
Dilruba|F|1|1
Dilschad|F|2|2
Dilshad|F|4|4
Dima|F?|5|5
Dina|F|6|6
Dine|F|1|1
Djafar|M|1|1
Djamel|M|2|2
Djamila|F|5|5
Djamschid|M|2|2
Djamshid|M|2|2
Djavad|M|2|2
Djibril|M|1|1
Doha|F|2|2
Donia|F|1|1
Driss|M|3|3
Drissia|F|1|1
Dunia|F|3|3
Dunja|F|5|5
Ebrahim|M|5|5
Edris|M|2|2
Ehsan|M|3|3
Eissa|M|2|2
Elaheh|F|1|1
Elham|F|3|3
Elyas|M|1|1
Emad|M|5|5
Eman|F|2|2
Enes|M|2|2
Esam|M|3|3
Esmail|M|1|1
Essam|M|4|4
Essedin|M|2|2
Eyad|M|2|2
Ezzedin|M|3|3
Fadel|M|4|4
Fadhel|M|4|4
Fadhil|M|3|3
Fadhila|F|2|2
Fadi|M|7|7
Fadia|F|3|3
Fadil|M|3|3
Fadila|F|2|2
Fadile|F|1|1
Fadl|M|1|1
Fadwa|F|4|4
Fady|M|5|5
Fadya|F|2|2
Fahad|M|1|1
Fahd|M|4|4
Faheem|M|2|2
Fahim|M|3|3
Fahima|F|2|2
Fahmi|M|3|3
Fahmy|M|2|2
Faisal|M|6|6
Faiz|M|3|3
Faiza|F|3|3
Faize|F|1|1
Fakhri|M|3|3
Falah|M|3|3
Falak|F|1|1
Falih|M|1|1
Fallah|M|2|2
Faouzi|M|2|2
Faqir|M|1|1
Farah|F|6|6
Farahnaz|F|4|4
Faraj|M|2|2
Faramarz|M|3|3
Faranaz|F|4|4
Fares|M|4|4
Farhad|M|4|4
Farhan|M|2|2
Farhana|F|1|1
Fariba|F|3|3
Farid|M|6|6
Farida|F|5|5
Faridah|F|3|3
Farideh|F|3|3
Faried|M|3|3
Faris|M|4|4
Farkhondeh|F|1|1
Farman|M|2|2
Farnaz|F|1|1
Farookh|M|3|3
Farooq|M|3|3
Farouk|M|5|5
Farrokh|M|3|3
Farrukh|M|3|3
Farsad|M|2|2
Farschid|M|1|1
Farshad|M|1|1
Farshid|M|2|2
Faruk|M|6|6
Faruque|M|3|3
Farzad|M|2|2
Farzana|F|2|2
Farzaneh|F|3|3
Farzin|M|2|2
Fateen|M|2|2
Fateh|M|2|2
Fatema|F|6|6
Fatemeh|F|7|7
Faten|F|5|5
Fathi|M|3|3
Fathy|M|2|2
Fatiha|F|2|2
Fatima|F|9|9
Fatimah|F|5|5
Fatin|F?|2|2
Fatina|F|3|3
Fatinah|F|3|3
Fatma|F|5|5
Fatme|F|5|5
Fatmeh|F|4|4
Fauzia|F|3|3
Fauziah|F|3|3
Fawad|M|3|3
Fawaz|M|4|4
Fawwaz|M|3|3
Fawzi|M|5|5
Fawzia|F|3|3
Fawzieh|M|2|2
Fawzy|M|3|3
Faycal|M|2|2
Fayez|M|5|5
Fayiz|M|3|3
Faysal|M|6|6
Fayssal|M|3|3
Fayyad|M|1|1
Fayza|F|2|2
Fazil|M|1|1
Fazila|F|2|2
Fazli|M|2|2
Feisal|M|3|3
Feras|M|3|3
Ferdos|F|2|2
Ferdous|F|2|2
Fereshteh|F|2|2
Ferhat|M|2|2
Ferial|F|3|3
Ferid|M|3|3
Fershteh|F|2|2
Feryal|F|1|1
Fethi|M|1|1
Fida|M?|3|3
Fikri|M|2|2
Firas|M|5|5
Firdaus|F|1|1
Firoozeh|F|2|2
Firouz|M|3|3
Firoz|M|3|3
Firyal|F|1|1
Foroogh|F|3|3
Forough|F|3|3
Fouad|M|6|6
Fouzia|F|3|3
Fraydoun|M|1|1
Fuad|M|7|7
Gamal|M|3|3
Gelareh|F|1|1
Ghada|F|6|6
Ghadah|F|3|3
Ghalia|F|1|1
Ghalib|M|2|2
Ghanim|M|1|1
Gharib|M|1|1
Ghassan|M|7|7
Ghazal|M|3|3
Ghazala|F|1|1
Ghazanfar|M|1|1
Ghazi|M|4|4
Ghida|F|4|4
Ghina|F|4|4
Ghinwa|F|3|3
Ghiwa|F|2|2
Ghiyath|M|1|1
Ghobad|M|1|1
Gholam|M|4|4
Gholam+Reza|M|3|3
Ghulam|M|5|5
Giti|F|1|1
Golchehr|F|1|1
Golnaz|F|2|2
Goran|M|2|2
Goudarz|M|1|1
Guitta|F|2|2
Gulam|M|2|2
Habib|M|5|5
Habiba|F|3|3
Habibollah|M|2|2
Habibullah|M|2|2
Hadi|M|5|5
Hadia|F|3|3
Hadil|F|2|2
Hady|M|4|4
Hafez|M|2|2
Hafid|M|1|1
Hafida|F|2|2
Hafiz|M|3|3
Hafizullah|M|1|1
Hafsa|F|1|1
Hafsah|F|1|1
Haidar|M|5|5
Haideh|F|1|1
Haider|M|5|5
Haifa|F|4|4
Haifaa|F|4|4
Haikel|M|1|1
Haitham|M|5|5
Hakeem|M|2|2
Hakiema|F|1|1
Hakim|M|3|3
Hakima|F|3|3
Hala|F|6|6
Haleema|F|2|2
Halima|F|4|4
Hamad|M|3|3
Hamdi|M|3|3
Hamdy|M|2|2
Hamed|M|4|4
Hameed|M|4|4
Hamid|M|6|6
Hamida|F|2|2
Hamideh|F|1|1
Hamidollah|M|2|2
Hamidullah|M|2|2
Hamo|M|1|1
Hamood|M|2|2
Hamud|M|2|2
Hamza|M|3|3
Hamzeh|M|2|2
Hana|F|6|6
Hanaa|F|3|3
Hanadee|F|2|2
Hanadi|F|4|4
Hanady|F|3|3
Hanan|F|6|6
Hanane|F|2|2
Hani|M|6|6
Hania|F|2|2
Hanif|M|1|1
Hanifa|F|1|1
Hanin|F|2|2
Hannan|M|2|2
Hany|M|5|5
Haroon|M|4|4
Haroun|M|4|4
Harun|M|4|mythological
Hasan|M|7|7
Haseeb|M|3|3
Hashem|M|3|3
Hashim|M|3|3
Hasib|M|3|3
Hasim|M|2|2
Hasina|F|4|4
Hasna|F|4|4
Hasnaa|F|2|2
Hassan|M|8|8
Hassanah|F|2|2
Hassib|M|2|2
Hassina|F|4|4
Hatem|M|3|3
Hatim|M|1|1
Hawa|F|1|1
Hayam|F|2|2
Hayat|M?|6|6
Haydar|M|5|5
Hayder|M|4|4
Hayet|F|2|2
Hayfa|F|5|5
Haykel|M|1|1
Haytham|M|5|5
Hazar|M|1|1
Hazem|M|3|3
Hazim|M|2|2
Heba|F|5|5
Helin|F|1|1
Hesham|M|2|2
Hiam|F|2|2
Hiba|F|5|5
Hibah|F|1|1
Hicham|M|4|4
Hichem|M|2|2
Hikmat|M|3|3
Hilal|M?|4|4
Hind|F|4|4
Hirad|M|1|1
Hisham|M|6|6
Hiyam|F|4|4
Hocine|M|3|3
Hoda|F|4|4
Homa|F|3|3
Homaira|F|2|2
Homayoon|M|4|4
Homayoun|M|4|4
Homayun|M|4|4
Homeira|F|2|2
Hooman|M|1|1
Hosein|M|4|4
Hosni|M|3|3
Hossain|M|4|4
Hossam|M|3|3
Hossein|M|7|7
Houcine|M|3|3
Houda|F|4|4
Houssain|M|4|4
Houssam|M|6|6
Houssein|M|4|4
Huda|F|7|7
Huma|F|3|3
Humam|M|2|2
Humayun|M|4|4
Husain|M|4|4
Husam|M|5|5
Husayn|M|5|5
Husein|M|4|4
Husni|M|4|4
Hussain|M|7|7
Hussam|M|6|6
Hussein|M|8|8
Ibrahim|M|8|mythological
Ibtesam|F|2|2
Ibtihaj|F|2|2
Ibtisam|F|4|4
Ibtissam|F|3|3
Ibtissem|F|4|4
Idrees|M|3|3
Idris|M|2|mythological
Iffat|F|1|1
Iftikhar|M|5|5
Ihab|M|2|2
Ihsan|M|4|4
Ihssan|M|2|2
Ijaz|M|2|2
Ijlal|F|1|1
Ikbal|M?|3|3
Ikram|U|3|3
Ilham|M?|3|3
Ilyas|M|4|4
Imad|M|7|7
Iman|F?|6|6
Imane|F|1|1
Imdad|M|2|2
Imed|M|3|3
Imran|M|4|4
Imtiaz|M|4|4
Inas|F|4|4
Inaya|F|3|3
Inayat|M|1|1
Insaf|F|1|1
Intisar|F|2|2
Intissar|F|2|2
Iqbal|M?|4|4
Iraj|M|3|3
Iran|F|1|1
Irfan|M|2|2
Irfana|F|1|1
Irshad|M|1|1
Isa|M|4|4
Isam|M|6|6
Iskandar|M|4|4
Iskander|M|2|2
Iskender|M|1|1
Islam|M|4|4
Ismael|M|2|2
Ismail|M|6|mythological
Ismat|M|3|3
Ismet|M|2|2
Israr|M|1|1
Issa|M|5|mythological
Issam|M|6|6
Iyad|M|4|4
Izat|F|2|2
Izzat|F|4|4
Jabar|M|2|2
Jabbar|M|4|4
Jaber|M|3|3
Jad|M|4|4
Jafar|M|3|3
Jaffar|M|2|2
Jahan|F|1|1
Jahanara|F|2|2
Jahangir|M|1|1
Jalal|M|5|5
Jaleel|M|1|1
Jaleh|F|1|1
Jalil|M|2|2
Jamal|M|6|6
Jameel|M|3|3
Jamiel|M|3|3
Jamil|M|6|6
Jamila|F|6|6
Jamilah|F|4|4
Jamile|F|2|2
Jamschid|M|1|1
Jamshed|M|2|2
Jamshid|M|4|4
Jamshida|F|1|1
Janan|F|1|1
Jaouad|M|2|2
Jarir|M|2|2
Jasem|M|3|3
Jashar|M|2|2
Jasim|M|4|4
Jasmin|F|7|7
Jassem|M|3|3
Jassim|M|4|4
Jassir|M|4|4
Javad|M|3|3
Javed|M|3|3
Javeed|M|4|4
Javid|M|4|4
Jawad|M|4|4
Jawdat|M|3|3
Jawed|M|2|2
Jaweed|M|4|4
Jawhar|M|1|1
Jawid|M|4|4
Jehad|M|4|4
Jewad|M|2|2
Jihad|M|6|6
Jihan|M?|4|4
Jihane|F|2|2
Jinan|F|1|1
Jinane|F|2|2
Jirji|M|1|1
Johar|F|2|2
Jori|M|2|2
Joumana|F|6|6
Jubran|M|2|2
Jumana|F|6|6
Jumanah|F|4|4
Jusra|F|5|5
Jussef|M|1|1
Jussuf|M|1|1
Kabeer|M|3|3
Kabir|M|3|3
Kais|M|4|4
Kaiss|M|2|2
Kajal|F|1|1
Kamal|M|6|6
Kambiz|M|2|2
Kamel|M|4|4
Kami|M|1|1
Kamil|M|4|4
Kamran|M|3|3
Kanan|F|1|1
Kara|F|1|1
Karam|M|2|2
Karaman|M|1|1
Kareem|M|5|5
Karem|M|2|2
Karim|M|7|7
Karima|F|6|6
Karine|F|3|3
Kasem|M|3|3
Kashif|M|2|2
Kassem|M|4|4
Kassim|M|2|2
Katayoun|F|2|2
Kaveh|M|1|1
Kaweh|M|1|1
Kays|M|4|4
Kazem|M|2|2
Kazi|M|3|3
Kazim|M|2|2
Kenza|F|1|1
Kerem|M|1|1
Kerim|M|1|1
Keyvan|M|1|1
Khadija|F|6|6
Khadijah|F|4|4
Khadijeh|F|5|5
Khadim|M|3|3
Khadra|F|3|3
Khairi|M|1|1
Khaldoun|M|3|3
Khaldun|M|3|3
Khaled|M|8|8
Khalid|M|7|7
Khalida|F|2|2
Khalil|M|7|7
Khalis|M|1|1
Khashayar|M|1|1
Khayr|M|1|1
Khodor|M|2|2
Khosrow|M|2|2
Khouloud|F|2|2
Khulud|F|2|2
Khurram|M|2|2
Khursheed|M|2|2
Khurshid|M|2|2
Kimiya|F|1|1
Kinda|F|2|2
Kobra|F|6|6
Kourosh|M|1|1
Kusai|M|2|2
Kussai|M|2|2
Labib|M|3|3
Ladan|F|2|2
Laila|F|9|9
Laith|M|4|4
Lakhdar|M|1|1
Laleh|F|2|2
Lalit|M|2|2
Lalith|M|2|2
Lama|F|5|5
Lamia|F|6|mythological
Lamiaa|F|4|4
Lamiah|F|4|4
Lamine|M|2|2
Lamis|F|2|2
Lamya|F|4|4
Lara|F|4|mythological
Larbi|M|1|1
Latif|M|4|4
Latifa|F|1|1
Latifah|F|1|1
Lawahiz|F|1|1
Layal|F|3|3
Layla|F|8|8
Layth|M|4|4
Leila|F|9|9
Leith|M|2|2
Lela|F|1|1
Leman|F|1|1
Leora|F|1|1
Leyla|F|8|8
Lina|F|6|6
Lookman|M|3|3
Lotfi|M|3|3
Louai|M|4|4
Louay|M|4|4
Loubna|F|2|2
Loulou|F|2|2
Lounes|M|1|1
Luai|M|4|4
Luay|M|4|4
Lubna|F|4|4
Lubnah|F|2|2
Lule|F|1|1
Luma|F|2|2
Luqman|M|2|mythological
Lutfi|M|3|3
Lyna|F|1|1
Maamar|M|1|1
Maamoun|M|3|3
Maan|M|2|2
Mabrouk|M|1|1
Madjid|M|2|2
Maged|M|2|2
Maha|F|7|7
Mahdi|M|5|5
Maher|M|6|6
Mahieddine|M|1|1
Mahin|F|4|4
Mahir|M|4|4
Mahmod|M|4|4
Mahmood|M|6|6
Mahmooda|F|3|3
Mahmoud|M|8|8
Mahmud|M|6|6
Mahnaz|F|3|3
Mahnoosh|F|1|1
Mahsa|F|2|2
Mahtab|F|1|1
Mahvash|F|1|1
Maissa|F|1|1
Maisun|F|4|4
Majd|M|2|2
Majdi|M|1|1
Majed|M|4|4
Majeed|M|3|3
Majid|M|6|6
Majida|F|5|5
Majidah|F|3|3
Makin|M|1|1
Makram|M|3|3
Malak|M|1|1
Malakah|F|3|3
Malake|F|2|2
Malakeh|F|3|3
Malek|M|3|3
Maliha|F|1|1
Malik|M|5|5
Malika|F|5|5
Mamadou|M|2|2
Mamdouh|M|2|2
Mamduh|M|1|1
Mamoun|M|3|3
Mamun|M|2|2
Manaf|M|2|2
Manal|F|4|4
Mani|U|1|1
Manijeh|F|1|1
Mannan|M|2|2
Manoochehr|M|5|5
Manoocher|M|5|5
Manouchehr|M|5|5
Mansoor|M|5|5
Mansoora|F|2|2
Mansooreh|F|2|2
Mansour|M|5|5
Mansoura|F|3|3
Mansoureh|F|3|3
Mansur|M|4|4
Manucher|M|5|5
Manzoor|M|5|5
Manzur|M|4|4
Maqsood|M|3|3
Maral|F|2|2
Mari|F|2|2
Mariam|F|7|7
Maroon|M|2|2
Marouan|M|2|2
Marouane|M|1|1
Maroun|M|3|3
Maruan|M|3|3
Maruf|M|1|1
Marun|M|2|2
Marwa|F|4|4
Marwan|M|6|6
Maryam|F|8|8
Marzieh|F|3|3
Marziyeh|F|2|2
Masood|M|5|5
Masoomeh|F|5|5
Masoud|M|6|6
Masouma|F|3|3
Masoumeh|F|6|6
Massom|F|1|1
Massoud|M|5|5
Massouda|F|3|3
Massouma|F|3|3
Massoumeh|F|4|4
Massud|M|3|3
Massuda|F|3|3
Massumah|F|3|3
Massumeh|F|4|4
Masud|M|5|5
Masuda|F|3|3
Masuma|F|3|3
Masumah|F|3|3
Masumeh|F|5|5
May|F|7|7
Maysa|F|3|3
Maysam|F|3|3
Maysan|F|1|1
Maysoon|F|4|4
Maysoun|F|4|4
Maysun|F|4|4
Mayyadah|F|1|1
Mazen|M|6|6
Mazhar|M|2|2
Maziar|M|1|1
Mazin|M|4|4
Mebarek|M|1|1
Mehar|M|1|1
Mehdi|M|5|5
Mehran|M|2|2
Mehrangiz|F|1|1
Mehrdad|M|4|4
Mehrnaz|F|1|1
Mehrnoush|F|2|2
Melhem|M|1|1
Melik|M|1|1
Melika|F|2|2
Messaoud|M|1|1
Messaouda|F|2|2
Mian|U|2|2
Milad|M|3|3
Miloud|M|1|1
Mina|F|4|4
Minara|F|1|1
Minoo|F|1|1
Mir|M|4|4
Miray|F|1|1
Miriam|F|7|biblical
Mirvat|F|5|5
Misbah|M|1|1
Mitra|F|4|mythological
Mohamad|M|9|9
Mohamadou|M|2|2
Mohamed|M|10|10
Mohammad|M|10|10
Mohammadou|M|2|2
Mohammed|M|10|10
Mohsen|M|4|4
Mohsin|M|3|3
Mohssen|M|2|2
Moin|M|3|3
Mojgan|F|4|4
Mojtaba|M|2|2
Mokhtar|M|1|1
Mona|F|8|8
Monah|F|5|5
Moncef|M|1|1
Monther|M|1|1
Morad|M|4|4
Morteza|M|3|3
Mosa|M|2|2
Mostafa|M|5|5
Moufid|M|2|2
Mouhamad|M|5|5
Mouhamed|M|5|5
Mouhammad|M|5|5
Mouhammed|M|5|5
Mouin|M|3|3
Mouloud|M|2|2
Mouna|F|6|6
Mounah|F|5|5
Mounia|F|2|2
Mounir|M|6|6
Mounira|F|3|3
Mounjid|M|1|1
Mourad|M|5|5
Mousa|M|2|2
Moussa|M|4|4
Moustafa|M|5|5
Mouzaffar|M|2|2
Muamar|M|2|2
Muammar|M|2|2
Muammer|M|1|1
Muayad|M|2|2
Muaz|M|1|1
Mubarak|M|2|2
Muchtar|M|2|2
Mufid|M|3|3
Muhamad|M|5|5
Muhamed|M|6|6
Muhammad|M|9|9
Muhammed|M|6|6
Muhsin|M|3|3
Muhyiddin|M|2|2
Muin|M|3|3
Mukhtar|M|4|4
Mukhtiar|M|2|2
Mukul|M?|1|1
Mumtaz|M|3|3
Muna|F|7|7
Munawar|F|6|6
Muneer|M|4|4
Muneera|F|2|2
Munib|M|2|2
Munir|M|6|6
Munira|F|3|3
Murad|M|4|4
Murtaza|M|1|1
Musa|M|3|3
Mushtak|F|3|3
Mushtaq|M|4|4
Mustafa|M|7|7
Mustapha|M|6|6
Mutasem|M|2|2
Mutasim|M|1|1
Mutazz|M|2|2
Muwafak|M|2|2
Muwaffak|M|2|2
Muzaffar|M|2|2
Muzzaffar|M|2|2
Myriam|F|6|6
Nabeel|M|5|5
Nabeela|F|4|4
Nabih|M|2|2
Nabiha|F|1|1
Nabihah|F|1|1
Nabil|M|7|7
Nabila|F|5|5
Nabilah|F|4|4
Nacer|M|1|1
Nada|F|7|7
Nadeem|M|5|5
Nadeer|M|2|2
Nader|M|4|4
Nadhim|M|4|4
Nadia|F|8|8
Nadim|M|6|6
Nadir|M|4|4
Nadira|F|3|3
Nadirah|F|3|3
Nadiyah|F|4|4
Nadja|F|7|7
Nadjia|F|4|4
Nadra|F|1|1
Nadwa|F|1|1
Nadya|F|5|5
Naeem|M|5|5
Naeema|F|4|4
Nael|M|2|2
Nafi|M|1|1
Nafisa|F|4|4
Nafissa|F|3|3
Naghmeh|F|1|1
Nagi|M|3|3
Nagib|M|2|2
Nagy|M|3|3
Nahed|F|4|4
Naheed|F|2|2
Nahid|F|6|6
Nahida|F|3|3
Nahil|M|2|2
Nahla|F|5|5
Nahlah|F|3|3
Nail|M|3|3
Naila|F|5|5
Naim|M|5|5
Naima|F|6|6
Naimat|F|1|1
Najah|F|5|5
Najat|F|2|2
Najeebullah|M|2|2
Naji|M|5|5
Najia|F|4|4
Najib|M|5|5
Najiba|F|2|2
Najibullah|M|3|3
Najim|M|2|2
Najla|F|5|5
Najma|F|2|2
Najwa|F|5|5
Nakisa|M|1|1
Narges|F|3|3
Nargis|F|2|2
Nariman|F|2|2
Narin|F|1|1
Narjes|F|1|1
Narmila|F|1|1
